"FREQ","R1(1)[X=0.00]","R1(1)[X=100m]","R1(1)[X=200m]","R1(1)[X=300m]","R1(1)[X=400m]","R1(1)[X=500m]","R1(1)[X=600m]","R1(1)[X=700m]","R1(1)[X=800m]","R1(1)[X=900m]","R1(1)[X=1.00]"
1175475.475,0.00301156,0.00301156,0.00301156,0.00301156,0.00301156,0.00301156,0.00301156,0.00301156,0.00301156,0.00301156,0.00301156
1183383.383,0.00303296,0.00303296,0.00303296,0.00303296,0.00303296,0.00303296,0.00303296,0.00303296,0.00303296,0.00303296,0.00303296
1191291.291,0.00305438,0.00305438,0.00305438,0.00305438,0.00305438,0.00305438,0.00305438,0.00305438,0.00305438,0.00305438,0.00305438
1199199.199,0.00307583,0.00307583,0.00307583,0.00307583,0.00307583,0.00307583,0.00307583,0.00307583,0.00307583,0.00307583,0.00307583
1207107.107,0.0030973,0.0030973,0.0030973,0.0030973,0.0030973,0.0030973,0.0030973,0.0030973,0.0030973,0.0030973,0.0030973
1215015.015,0.00311879,0.00311879,0.00311879,0.00311879,0.00311879,0.00311879,0.00311879,0.00311879,0.00311879,0.00311879,0.00311879
1222922.923,0.00314031,0.00314031,0.00314031,0.00314031,0.00314031,0.00314031,0.00314031,0.00314031,0.00314031,0.00314031,0.00314031
1230830.831,0.00316186,0.00316186,0.00316186,0.00316186,0.00316186,0.00316186,0.00316186,0.00316186,0.00316186,0.00316186,0.00316186
1238738.739,0.00318342,0.00318342,0.00318342,0.00318342,0.00318342,0.00318342,0.00318342,0.00318342,0.00318342,0.00318342,0.00318342
1246646.647,0.00320502,0.00320502,0.00320502,0.00320502,0.00320502,0.00320502,0.00320502,0.00320502,0.00320502,0.00320502,0.00320502
1254554.555,0.00322664,0.00322664,0.00322664,0.00322664,0.00322664,0.00322664,0.00322664,0.00322664,0.00322664,0.00322664,0.00322664
1262462.462,0.00324828,0.00324828,0.00324828,0.00324828,0.00324828,0.00324828,0.00324828,0.00324828,0.00324828,0.00324828,0.00324828
1270370.37,0.00326995,0.00326995,0.00326995,0.00326995,0.00326995,0.00326995,0.00326995,0.00326995,0.00326995,0.00326995,0.00326995
1278278.278,0.00329165,0.00329165,0.00329165,0.00329165,0.00329165,0.00329165,0.00329165,0.00329165,0.00329165,0.00329165,0.00329165
1286186.186,0.00331337,0.00331337,0.00331337,0.00331337,0.00331337,0.00331337,0.00331337,0.00331337,0.00331337,0.00331337,0.00331337
1294094.094,0.00333512,0.00333512,0.00333512,0.00333512,0.00333512,0.00333512,0.00333512,0.00333512,0.00333512,0.00333512,0.00333512
1302002.002,0.00335689,0.00335689,0.00335689,0.00335689,0.00335689,0.00335689,0.00335689,0.00335689,0.00335689,0.00335689,0.00335689
1309909.91,0.00337869,0.00337869,0.00337869,0.00337869,0.00337869,0.00337869,0.00337869,0.00337869,0.00337869,0.00337869,0.00337869
1317817.818,0.00340052,0.00340052,0.00340052,0.00340052,0.00340052,0.00340052,0.00340052,0.00340052,0.00340052,0.00340052,0.00340052
1325725.726,0.00342238,0.00342238,0.00342238,0.00342238,0.00342238,0.00342238,0.00342238,0.00342238,0.00342238,0.00342238,0.00342238
1333633.634,0.00344426,0.00344426,0.00344426,0.00344426,0.00344426,0.00344426,0.00344426,0.00344426,0.00344426,0.00344426,0.00344426
1341541.542,0.00346617,0.00346617,0.00346617,0.00346617,0.00346617,0.00346617,0.00346617,0.00346617,0.00346617,0.00346617,0.00346617
1349449.449,0.00348811,0.00348811,0.00348811,0.00348811,0.00348811,0.00348811,0.00348811,0.00348811,0.00348811,0.00348811,0.00348811
1357357.357,0.00351007,0.00351007,0.00351007,0.00351007,0.00351007,0.00351007,0.00351007,0.00351007,0.00351007,0.00351007,0.00351007
1365265.265,0.00353207,0.00353207,0.00353207,0.00353207,0.00353207,0.00353207,0.00353207,0.00353207,0.00353207,0.00353207,0.00353207
1373173.173,0.00355409,0.00355409,0.00355409,0.00355409,0.00355409,0.00355409,0.00355409,0.00355409,0.00355409,0.00355409,0.00355409
1381081.081,0.00357614,0.00357614,0.00357614,0.00357614,0.00357614,0.00357614,0.00357614,0.00357614,0.00357614,0.00357614,0.00357614
1388988.989,0.00359822,0.00359822,0.00359822,0.00359822,0.00359822,0.00359822,0.00359822,0.00359822,0.00359822,0.00359822,0.00359822
1396896.897,0.00362033,0.00362033,0.00362033,0.00362033,0.00362033,0.00362033,0.00362033,0.00362033,0.00362033,0.00362033,0.00362033
1404804.805,0.00364246,0.00364246,0.00364246,0.00364246,0.00364246,0.00364246,0.00364246,0.00364246,0.00364246,0.00364246,0.00364246
1412712.713,0.00366463,0.00366463,0.00366463,0.00366463,0.00366463,0.00366463,0.00366463,0.00366463,0.00366463,0.00366463,0.00366463
1420620.621,0.00368682,0.00368682,0.00368682,0.00368682,0.00368682,0.00368682,0.00368682,0.00368682,0.00368682,0.00368682,0.00368682
1428528.529,0.00370905,0.00370905,0.00370905,0.00370905,0.00370905,0.00370905,0.00370905,0.00370905,0.00370905,0.00370905,0.00370905
1436436.436,0.00373131,0.00373131,0.00373131,0.00373131,0.00373131,0.00373131,0.00373131,0.00373131,0.00373131,0.00373131,0.00373131
1444344.344,0.00375359,0.00375359,0.00375359,0.00375359,0.00375359,0.00375359,0.00375359,0.00375359,0.00375359,0.00375359,0.00375359
